seed,method,accuracy,precision,recall,f1,auc
2115,any-violation,0.938,0.7602674307545367,0.8680479825517994,0.8105906313645621,0.9093338476599248
2115,weighted-score,0.9508333333333333,0.8417582417582418,0.8353326063249727,0.8385331143951834,0.9224363032761931
2116,temperature-only,0.862,0.7191011235955056,0.2601626016260163,0.382089552238806,0.6204154834610547
2116,any-violation,0.9355,0.761612620508326,0.883130081300813,0.8178823529411765,0.9144518030108533
2116,weighted-score,0.9475,0.8257059396299903,0.8617886178861789,0.8433615116857285,0.9288138728426759
2117,temperature-only,0.8605,0.7712418300653595,0.23529411764705882,0.3605805958747135,0.6087568792521774
2117,any-violation,0.9403333333333334,0.7913279132791328,0.8733798604187437,0.8303317535545024,0.9135760618883793
2117,weighted-score,0.9541666666666667,0.8737166324435318,0.8484546360917248,0.860900354071826,0.9257931628368845
2118,temperature-only,0.8633333333333333,0.6542553191489362,0.26282051282051283,0.375,0.6214170160408311
2118,any-violation,0.9385,0.7579617834394905,0.8899572649572649,0.8186732186732186,0.9187148094138615
2118,weighted-score,0.949,0.8156312625250501,0.8696581196581197,0.8417786970010341,0.9309732855348969
2119,temperature-only,0.8598333333333333,0.7090395480225988,0.2537917087967644,0.37379002233804914,0.6166014141991762
2119,any-violation,0.9323333333333333,0.757736516357206,0.8665318503538928,0.8084905660377358,0.9059260728520613
2119,weighted-score,0.9411666666666667,0.806949806949807,0.8452982810920121,0.825679012345679,0.9192833400492628
2120,temperature-only,0.861,0.676737160120846,0.23554153522607782,0.3494539781591264,0.6076725690754268
2120,any-violation,0.9451666666666667,0.7884972170686456,0.8937960042060988,0.8378511582060129,0.924319273641968
2120,weighted-score,0.9523333333333334,0.8382502543234995,0.8664563617245006,0.8521199586349535,0.9354866993266202
